chunk,model,rows,train_inner_size,val_size,test_size,train_inner_fraud_rate,val_fraud_rate,test_fraud_rate,val_pr_auc,test_pr_auc,threshold_from_val,val_f1_at_threshold,test_f1_at_val_threshold,best_test_threshold_diagnostic,best_test_f1_diagnostic,best_test_precision_diagnostic,best_test_recall_diagnostic,test_TN,test_FP,test_FN,test_TP,pr_auc_val_to_test_drop,f1_recoverable_by_threshold,issue_type
2,xgb_undersample,536266,35574,85803,107254,0.09090909090909091,0.011922660046851509,0.007719991795177802,0.7843731785156502,0.42313022760372354,0.911459743976593,0.7421109902062528,0.5025906735751295,0.9241651296615601,0.5658181818177026,0.7111517367458866,0.46980676328502413,105809,617,343,485,0.3612429509119267,0.06322750824257306,ranking_drift_suspected
2,xgb_class_weight,536266,343209,85803,107254,0.009422829820896305,0.011922660046851509,0.007719991795177802,0.8337929986854821,0.7726125322948806,0.9947657585144043,0.7987421383642825,0.7109471094710947,0.9959579110145569,0.7365439093479568,0.8904109589041096,0.6280193236714976,106206,220,250,578,0.061180466390601485,0.02559679987686203,ok
3,xgb_undersample,536266,41734,85803,107254,0.09090909090909091,0.010395906903022039,0.01021873310086337,0.917719491415293,0.9213192160761663,0.7795715928077698,0.8545673076918103,0.8540816326530613,0.7317299842834473,0.8583984374995024,0.9233193277310925,0.802007299270073,106131,27,259,837,-0.003599724660873327,0.004316804846441147,ok
3,xgb_class_weight,536266,343209,85803,107254,0.011054488664341553,0.010395906903022039,0.01021873310086337,0.9137775174786769,0.910009843172346,0.9520509839057922,0.8483816013623621,0.8433382137628112,0.9647859930992126,0.8546391752572403,0.9822274881516587,0.7563868613138686,106069,89,232,864,0.003767674306330848,0.011300961494429163,ok
4,xgb_undersample,536266,39996,85803,107254,0.09090909090909091,0.014008834189946738,0.008409942752717846,0.865332947022074,0.6196620276524295,0.7152434587478638,0.7821229050274334,0.08656062701705855,0.9179428815841675,0.6653252850431169,0.8421052631578947,0.549889135254989,90653,15699,151,751,0.24567091936964447,0.5787646580260584,threshold_review_needed
4,xgb_class_weight,536266,343209,85803,107254,0.0105941277763695,0.014008834189946738,0.008409942752717846,0.8628661125992827,0.5682208602175101,0.9484035968780518,0.7720773759456734,0.07148017918212032,0.9978713989257812,0.5995777621388748,0.8208092485549133,0.4722838137472284,87235,19117,160,742,0.29464525238177264,0.5280975829567545,ranking_drift_suspected
5,xgb_undersample,536266,36971,85803,107254,0.09090909090909091,0.00674801580364323,0.008456561060659742,0.9558438008210731,0.28810077802077794,0.7146347165107727,0.9274047186927861,0.1464905185584614,0.9212306141853333,0.3630289532288988,0.36670416197975253,0.35942668136714445,96942,9405,92,815,0.6677430228002952,0.21653843467043737,concept_or_label_drift_likely
5,xgb_class_weight,536266,343209,85803,107254,0.009792866737177637,0.00674801580364323,0.008456561060659742,0.958601957258518,0.3499836188581307,0.9568818211555481,0.9225092250917531,0.09657469077069458,0.9984839558601379,0.3904688700995008,0.6446700507614214,0.28004410143329656,91250,15097,95,812,0.6086183384003874,0.29389417932880624,concept_or_label_drift_likely
6,xgb_undersample,536266,41756,85803,107254,0.09090909090909091,0.01214409752572754,0.010097525500214444,0.9270394756972654,0.326790506610506,0.742541491985321,0.8872329855931419,0.07980972515856237,0.9238697290420532,0.4178477690283808,0.48418491484184917,0.3674976915974146,85456,20715,177,906,0.6002489690867594,0.3380380438698184,concept_or_label_drift_likely
6,xgb_class_weight,536266,343209,85803,107254,0.011060316017353857,0.01214409752572754,0.010097525500214444,0.9238122286561129,0.44393738591176746,0.9655057191848755,0.8780241935478882,0.09348309953931364,0.9980574250221252,0.47572815533935514,0.6938053097345133,0.3619575253924284,88838,17333,180,903,0.47987484274434544,0.38224505580004153,concept_or_label_drift_likely
